Date,Day,Holiday
2014-01-01,Wednesday,New Year's Day
2014-01-31,Friday,Chinese New Year
2014-02-01,Saturday,Chinese New Year
2014-04-18,Friday,Good Friday
2014-05-01,Thursday,Labour Day
2014-05-13,Tuesday,Vesak Day
2014-07-28,Monday,Hari Raya Puasa
2014-08-09,Saturday,National Day
2014-10-05,Sunday,Hari Raya Haji
2014-10-05,Monday,Hari Raya Haji
2014-10-23,Thursday,Deepavali
2014-12-25,Thursday,Christmas Day
2015-01-01,Thursday,New Year's Day
2015-02-19,Thursday,Chinese New Year
2015-02-20,Friday,Chinese New Year
2015-04-03,Friday,Good Friday
2015-05-01,Friday,Labour Day
2015-06-01,Monday,Vesak Day
2015-07-17,Friday,Hari Raya Puasa
2015-08-09,Sunday,National Day
2015-08-10,Monday,National Day
2015-09-24,Thursday,Hari Raya Haji
2015-11-10,Tuesday,Deepavali
2015-12-25,Friday,Christmas Day
2016-01-01,Friday,New Year's Day
2016-02-08,Monday,Chinese New Year
2016-02-09,Tuesday,Chinese New Year
2016-03-25,Friday,Good Friday
2016-05-01,Sunday,Labour Day
2016-05-02,Monday,Labour Day
2016-05-21,Saturday,Vesak Day
2016-05-22,Sunday,Vesak Day
2016-05-23,Monday,Vesak Day
2016-08-09,Tuesday,National Day
2016-09-12,Monday,Hari Raya Haji
2016-10-29,Saturday,Deepavali
2016-12-25,Sunday,Christmas Day
2016-12-26,Monday,Christmas Day
2017-01-01,Sunday,New Year's Day
2017-01-02,Monday,New Year's Day
2017-01-28,Saturday,Chinese New Year
2017-01-29,Sunday,Chinese New Year
2017-04-14,Friday,Good Friday
2017-05-01,Monday,Labour Day
2017-05-10,Wednesday,Vesak Day
2017-06-25,Sunday,Hari Raya Puasa
2017-06-26,Monday,Hari Raya Puasa
2017-08-09,Wednesday,National Day
2017-09-01,Friday,Hari Raya Haji
2017-10-18,Wednesday,Deepavali
2017-12-25,Monday,Christmas Day
2018-01-01,Monday,New Year's Day
2018-02-18,Friday,Chinese New Year
2018-02-17,Saturday,Chinese New Year
2018-03-30,Friday,Good Friday
2018-05-01,Tuesday,Labour Day
2018-05-29,Tuesday,Vesak Day
2018-06-15,Friday,Hari Raya Puasa
2018-08-09,Tuesday,National Day
2018-08-22,Wednesday,Hari Raya Haji
2018-11-06,Tuesday,Deepavali
2018-12-25,Tuesday,Christmas Day
2019-12-25,Wednesday,Christmas Day
2019-10-28,Monday,Deepavali
2019-10-27,Sunday,Deepavali
2019-08-12,Monday,Hari Raya Haji
2019-08-11,Sunday,Hari Raya Haji
2019-08-09,Friday,National Day
2019-06-05,Wednesday,Hari Raya Puasa
2019-05-20,Monday,Vesak Day
2019-05-19,Sunday,Vesak Day
2019-05-01,Wednesday,Labour Day
2019-04-19,Friday,Good Friday
2019-02-06,Wednesday,Chinese New Year
2019-02-05,Tuesday,Chinese New Year
2019-01-01,Tuesday,New Year's Day
2020-12-25,Friday,Christmas Day
2020-11-14,Saturday,Deepavali
2020-08-09,Sunday,National Day
2020-07-31,Friday,Hari Raya Haji
2020-05-24,Sunday,Hari Raya Puasa
2020-05-07,Thursday,Vesak Day
2020-05-01,Friday,Labour Day
2020-04-10,Friday,Good Friday
2020-01-26,Sunday,Chinese New Year
2020-01-25,Saturday,Chinese New Year
2020-01-01,Wednesday,New Year's Day
2021-12-25,Saturday,Christmas Day
2021-11-04,Thursday,Deepavali
2021-08-09,Monday,National Day
2021-07-20,Tuesday,Hari Raya Haji
2021-05-26,Wednesday,Vesak Day
2021-05-13,Thursday,Hari Raya Puasa
2021-05-01,Saturday,Labour Day
2021-04-02,Friday,Good Friday
2021-02-13,Saturday,Chinese New Year
2021-02-12,Friday,Chinese New Year
2021-01-01,Friday,New Year's Day
2022-12-25,Sunday,Christmas Day
2022-10-24,Monday,Deepavali
2022-08-09,Tuesday,National Day
2022-07-09,Saturday,Hari Raya Haji
2022-05-16,Monday,Vesak Day
2022-05-15,Sunday,Vesak Day
2022-05-02,Monday,Hari Raya Puasa
2022-05-01,Sunday,Labour Day
2022-04-15,Friday,Good Friday
2022-02-02,Wednesday,Chinese New Year
2022-02-01,Tuesday,Chinese New Year
2022-01-03,Monday,New Year's Day
2022-01-02,Sunday,New Year's Day
2022-01-01,Saturday,New Year's Day